ID,Age,Income,Score,Gender,Height_cm,Education,City,Marital_Status,Children,Join_Date,Credit_Score
2041,26,4281,70,Male,164,Master,Cairo,Married,1,2022-05-09,
2042,30,4550,80,Female,159,Bachelor,Aswan,Married,0,2022-07-18,622
2043,,5352,90,Male,187,High School,Alexandria,Single,0,29/11/2021,707
2044,36,5466,59,Female,160,Bachelor,alex,Divorced,0,2020-11-18,705
2045,25,4698,90,Male,NULL,Bachelor,Aswan,Married,0,2022-01-27,635
2046,48,4483,84,Male,162,Bachelor,Cairo,Single,2,30/09/2021,660
2047,35,5542,67,Female,172,Bachelor,Giza,Divorced,1,2024-01-17,596
2048,34,6335,,Female,170,Master,Aswan,Single,0,2021-10-26,627
2049,,5367,,Female,188,Master,Aswan,Divorced,0,2024-05-09,668
2050,36,8317,59,Female,162,Bachelor,alex,Divorced,2,2023-03-08,723
2051,44,7016,90,Female,172,Bachelor,Luxor,Married,2,2023-05-06,639
2052,24,2818,58,Male,181,Bachelor,Luxor,Single,1,2020-06-22,629
2053,27,7047,83,Male,163,Bachelor,Luxor,Married,0,2024-12-14,648
2054,31,7211,73,male,177,PhD,Aswan,Married,2,2020-04-17,573
2055,18,5130,66,Female,151,Bachelor,Giza,Married,3,2020-11-14,588
2056,25,3009,73,Male,187,Master,Alexandria,Divorced,2,2020-11-18,622
2057,29,6016,,Male,179,Bachelor,Giza,Married,0,2024-03-25,597
2058,45,5984,57,Male,NULL,Bachelor,Luxor,Married,,19/06/2023,553
2059,38,3756,68,Male,178,Bachelor,Aswan,Single,2,2020-04-11,651
2060,37,3097,63,Female,183,Bachelor,Luxor,Married,4,2023-10-12,754
2061,45,5824,74,Female,157,Bachelor,Giza,Single,0,2020-06-16,651
2062,33,5533,64,Male,164,Bachelor,Luxor,Married,1,2021-07-11,529
2063,39,5165,,Male,183,High School,Cairo,Divorced,0,2022-06-26,689
2064,33,5833,59,Male,170,Bachelor,Alexandria,Divorced,1,2023-09-17,677
2065,38,3794,99,Male,174,High School,alex,Single,1,18/05/2022,682
2066,28,5130,78,Male,170,Bachelor,Cairo,Single,1,2022-09-21,592
2067,18,7066,78,Male,178,Master,Luxor,Married,2,2023-05-28,678
2068,33,5300,70,Female,175,PhD,Alexandria,Divorced,4,2022-06-24,687
2069,52,2656,74,Male,171,Bachelor,Alexandria,Divorced,0,2022-04-28,665
2070,46,5054,,Male,148,High School,Alexandria,Single,2,2021-07-13,656
2071,46,3859,82,Male,176,Bachelor,Aswan,Married,1,2021-03-17,646
2072,49,6534,76,Male,177,Bachelor,Alexandria,Divorced,0,26/03/2024,734
2073,36,6637,57,male,157,Bachelor,Cairo,Single,2,2022-11-15,640
2074,37,2682,78,Male,158,High School,Giza,Married,3,2020-08-21,702
2075,,7518,,Male,175,High School,Cairo,Single,1,2021-12-07,675
2076,31,3775,81,Male,171,Bachelor,Luxor,Married,2,2022-05-30,711
2077,42,9118,53,Male,150,High School,Aswan,Divorced,0,2020-08-15,723
2078,49,5902,73,Male,161,High School,Aswan,Single,1,2021-08-03,682
2079,33,3507,57,Female,173,Master,Luxor,Divorced,0,2023-10-20,665
2080,29,3716,75,Male,176,Bachelor,Giza,Single,1,2023-10-21,
2081,35,6696,,Male,164,High School,Aswan,Single,2,2023-04-29,667
2082,42,5217,97,Female,168,Bachelor,Luxor,Divorced,1,2022-09-23,679
2083,,5806,51,Male,161,Bachelor,Luxor,Single,3,2022-12-15,734
2084,18,9225,89,Male,183,High School,Luxor,Married,3,2023-09-28,683
2085,28,4601,76,Male,171,Bachelor,Luxor,Married,1,2021-09-23,549
2086,20,6119,68,Male,163,Bachelor,Alexandria,Married,1,2020-04-03,526
2087,28,8839,86,Female,158,Bachelor,Giza,Single,1,2021-03-27,570
2088,33,6541,71,Male,NULL,High School,Luxor,Single,2,20/03/2022,601
2089,29,2786,85,Male,188,Bachelor,Alexandria,Single,0,2023-05-12,642
2090,52,7010,60,Male,168,Master,Alexandria,Divorced,2,22/04/2020,667
2091,38,3673,65,Male,166,Bachelor,Cairo,Single,0,2020-01-16,591
2092,,8813,89,Male,167,Master,Luxor,Single,2,22/02/2021,672
2093,42,4354,97,Female,163,Bachelor,Alexandria,Divorced,1,2021-09-09,601
2094,21,11939,74,Female,168,Bachelor,cairo,Single,0,2021-03-08,696
2095,47,8934,33,Male,170,High School,Cairo,Divorced,2,20/04/2024,706
2096,34,4406,72,Female,170,Bachelor,cairo,Divorced,3,2020-10-08,698
2097,43,6040,75,Female,157,Master,Aswan,Divorced,2,2024-04-14,633
2098,22,7507,71,Female,178,High School,Alexandria,Divorced,,2021-06-07,785
2099,18,7567,80,Male,164,Bachelor,Aswan,Divorced,1,2021-08-15,589
2100,44,6884,67,Male,163,High School,Cairo,Married,2,2021-11-02,616
2101,39,8504,87,fmale,162,Master,Aswan,Married,0,2020-09-02,690
2102,24,5754,57,Female,NULL,Bachelor,Aswan,Single,0,2020-01-16,648
2103,24,5266,93,Male,172,Master,Luxor,Single,0,15/10/2022,728
2104,48,5306,98,Female,178,High School,Cairo,Single,1,2024-03-09,536
2105,20,7716,61,Male,162,Master,Giza,Single,2,2022-05-31,654
2106,54,6730,61,Male,151,High School,Alexandria,Single,2,2020-12-25,589
2107,24,6582,81,Female,159,High School,Luxor,Divorced,2,2020-09-21,634
2108,42,7590,57,Male,165,High School,Luxor,Married,0,2022-02-17,649
2109,31,1897,67,fmale,157,High School,Giza,Married,0,2022-12-26,640
2110,42,6620,91,Female,164,High School,Luxor,Married,3,2023-12-12,
2111,28,6437,86,Female,164,Bachelor,Cairo,Divorced,2,2021-04-16,659
2112,33,9337,100,Male,169,Bachelor,Luxor,Married,2,2022-10-21,
2113,35,2942,77,Female,155,Master,Luxor,Divorced,0,2023-02-18,627
2114,22,9114,65,Male,175,Bachelor,Giza,Married,1,2024-09-02,744
2115,43,6150,75,Female,186,High School,Alexandria,Divorced,3,2023-09-30,688
2116,28,6977,72,Male,184,High School,alex,Single,2,09/07/2024,638
2117,32,9351,72,Female,164,Bachelor,Aswan,Single,0,2021-12-26,627
2118,23,7121,74,Female,176,Bachelor,Cairo,Divorced,4,2020-05-27,674
2119,18,6800,61,Male,175,Bachelor,cairo,Divorced,0,2022-03-24,620
2120,32,6484,79,Male,169,Bachelor,Alexandria,Divorced,1,2024-10-30,686
2121,,5033,53,Female,171,High School,Giza,Married,2,2024-02-28,626
2122,44,5943,64,Male,176,Bachelor,Aswan,Single,0,2020-03-27,612
2123,34,4568,73,Female,178,Bachelor,Alexandria,Married,0,2022-06-12,645
2124,31,5910,41,Female,161,Bachelor,Giza,Single,3,2020-02-08,729
2125,35,1328,86,Male,177,High School,Cairo,Married,0,2022-07-30,589
2126,41,6858,44,Male,186,High School,Cairo,Married,0,2020-06-08,581
2127,20,5756,85,Female,178,Master,Aswan,Divorced,4,2024-10-31,617
2128,48,5327,55,Female,185,Bachelor,Alexandria,Single,3,2021-10-03,582
2129,43,6439,68,Female,144,Bachelor,Alexandria,Married,2,25/03/2023,676
2130,43,3132,82,Female,175,Bachelor,Cairo,Divorced,0,2022-05-29,642
2131,40,9858,100,Male,172,Bachelor,Aswan,Divorced,0,2023-03-20,665
2132,35,5794,76,Female,180,high school,Luxor,Divorced,3,2022-04-08,666
2133,43,5708,45,Male,158,High School,Cairo,Divorced,4,2023-12-24,626
2134,42,4069,89,fmale,164,Bachelor,cairo,Married,0,2023-08-04,607
2135,30,6047,71,Male,179,Bachelor,Giza,Married,1,2022-05-05,728
2136,28,8773,76,Female,159,Bachelor,Aswan,Single,1,2021-08-15,665
2137,36,8071,83,Male,172,High School,Luxor,Married,2,2020-08-23,
2138,53,7708,41,Female,169,Bachelor,Aswan,Divorced,1,2022-04-09,646
2139,20,7092,75,Male,168,Bachelor,Aswan,Single,0,2020-02-12,600
2140,18,5282,68,Male,175,High School,Cairo,Single,0,2021-10-27,669
2141,36,3099,93,Male,158,Bachelor,Cairo,Married,0,2020-12-17,698
2142,35,5597,85,Female,162,Bachelor,Cairo,Single,2,2024-06-29,615
2143,37,5528,50,Male,168,Master,Giza,Married,2,19/06/2023,687
2144,37,8097,,Male,157,Bachelor,Luxor,Divorced,2,2022-07-31,708
2145,32,6618,81,Female,182,High School,Luxor,Divorced,2,2024-08-30,662
2146,52,9224,51,Female,162,Master,Aswan,Married,1,2023-11-13,613
2147,18,8394,75,Female,177,High School,Cairo,Divorced,1,2022-01-11,726
2148,25,5087,90,Male,161,Bachelor,Aswan,Married,,2020-06-29,726
2149,33,2409,56,Male,177,High School,alex,Married,0,2022-06-13,648
2150,18,8771,95,Male,153,Bachelor,Aswan,Divorced,0,2024-09-25,651
2151,32,8718,52,male,184,Master,Aswan,Divorced,1,2020-08-04,663
2152,54,3267,63,Female,181,Bachelor,cairo,Single,0,2021-05-13,629
2153,35,9018,60,Male,164,Bachelor,Giza,Divorced,3,2022-06-11,639
2154,37,6764,95,Female,161,PhD,Aswan,Divorced,1,2023-04-21,616
2155,19,6321,67,Male,174,High School,Cairo,Married,1,2022-03-31,710
2156,27,9229,57,Female,154,Bachelor,Aswan,Married,0,2022-12-09,567
2157,30,8689,81,Female,170,Master,Cairo,Divorced,1,2020-06-10,625
2158,31,7302,84,Male,161,Bachelor,Alexandria,Single,3,2022-03-21,699
2159,50,6946,85,Male,167,Bachelor,Luxor,Married,0,2024-11-17,650
2160,41,7232,70,Male,163,Bachelor,Aswan,Married,0,2021-09-27,594
2161,21,5199,78,Female,162,Bachelor,Alexandria,Divorced,3,2024-03-07,624
2162,37,5889,65,Female,187,High School,cairo,Divorced,2,2021-11-26,722
2163,40,4195,100,Male,177,High School,Giza,Divorced,2,2021-03-29,709
2164,48,5333,92,Female,155,Bachelor,Luxor,Divorced,2,2021-11-13,641
2165,53,5266,91,Male,161,Bachelor,Aswan,Divorced,0,2024-05-14,
2166,22,4729,86,Male,178,Bachelor,Giza,Single,2,2020-12-10,696
2167,25,6273,82,Male,179,Bachelor,cairo,Married,2,2020-06-05,622
2168,19,5352,56,Male,156,High School,Alexandria,Single,0,2022-11-11,756
2169,32,7004,84,Female,176,High School,Giza,Single,2,2023-07-20,612
2170,40,2755,76,Male,172,Bachelor,Alexandria,Divorced,1,2020-08-21,673
2171,46,5773,93,Female,150,Bachelor,Cairo,Married,1,2022-12-22,716
2172,34,6263,87,Female,165,Bachelor,Cairo,Divorced,1,2022-11-10,669
2173,31,5378,83,Female,168,Bachelor,Cairo,Single,1,2021-02-01,660
2174,36,5655,49,Female,170,Bachelor,Cairo,Married,0,2024-05-08,585
2175,,2829,,Female,156,High School,Aswan,Married,0,2021-12-16,669
2176,60,,66,Male,162,Master,Alexandria,Divorced,4,2021-12-20,666
2177,18,7295,78,Female,163,High School,Cairo,Single,1,2024-01-29,650
2178,,6987,68,Male,164,PhD,Giza,Divorced,0,04/08/2024,613
2179,59,8077,70,Male,164,PhD,Alexandria,Married,0,2023-08-14,642
2180,35,6403,81,Male,168,Bachelor,Aswan,Divorced,0,2024-07-27,683
2181,,6957,68,Male,173,Bachelor,Cairo,Married,3,2020-10-29,644
2182,30,6312,76,Female,187,Bachelor,Alexandria,Divorced,0,2021-04-28,677
2183,32,7375,52,Female,178,Master,cairo,Single,3,2020-07-29,663
2184,51,2845,62,Male,183,Bachelor,Cairo,Single,1,2020-10-26,627
2185,18,4212,84,Male,165,High School,Alexandria,Divorced,0,2021-06-08,658
2186,53,9173,56,Male,159,High School,Cairo,Single,0,2021-02-08,621
2187,18,1079,93,Male,178,High School,Luxor,Divorced,2,2020-12-21,612
2188,31,5719,89,Male,169,high school,Giza,Married,0,2023-05-18,683
2189,29,8344,70,Male,177,High School,Giza,Single,1,2020-11-09,
2190,42,5813,100,Female,161,Bachelor,Luxor,Single,2,2024-04-05,644
2191,18,5189,93,Female,NULL,Bachelor,Alexandria,Single,0,2024-04-03,684
2192,40,6258,60,Female,168,Bachelor,Aswan,Married,,2023-09-04,619
2193,59,5293,86,Female,165,High School,Cairo,Single,0,2020-06-03,615
2194,18,6061,75,Male,166,High School,Aswan,Single,0,2020-12-28,578
2195,37,4633,63,Female,174,Bachelor,Cairo,Divorced,0,2024-05-01,597
2196,27,8217,58,Female,177,Bachelor,Aswan,Divorced,1,2023-07-10,
2197,40,8846,89,Male,166,Bachelor,Cairo,Married,1,2022-10-08,746
2198,35,5733,66,Female,173,Bachelor,Giza,Married,2,2022-08-08,588
2199,27,3227,73,Male,173,Bachelor,Cairo,Divorced,1,2024-03-25,550
2200,40,4952,61,Male,177,Bachelor,Cairo,Single,0,28/02/2023,636
2201,56,5632,63,Male,179,Bachelor,Luxor,Divorced,0,05/04/2024,655
2202,32,7011,73,Male,188,High School,Luxor,Divorced,1,2023-04-01,605
2203,43,3983,80,Male,165,Master,Cairo,Married,1,2022-07-08,706
2204,19,4461,36,fmale,184,Bachelor,Cairo,Married,3,2023-10-26,608
2205,23,7021,75,Male,171,High School,Alexandria,Single,1,2024-12-11,637
2206,40,7877,63,fmale,159,Bachelor,Giza,Divorced,3,2023-03-02,653
2207,52,4756,96,Male,163,Bachelor,Cairo,Single,1,2023-08-09,
2208,39,3333,100,Male,174,High School,Cairo,Married,0,2023-07-25,691
2209,31,12568,69,Male,177,Bachelor,Giza,Married,0,2023-07-03,668
2210,34,7566,49,Female,159,Bachelor,Alexandria,Married,4,2021-10-23,662
2211,19,5465,76,Male,162,Bachelor,Luxor,Single,0,2024-11-04,684
2212,42,7738,71,Female,164,Bachelor,Luxor,Single,0,2023-07-08,747
2213,45,5751,100,Female,161,High School,Giza,Divorced,0,2021-10-09,562
2214,29,7734,99,Female,151,Bachelor,alex,Married,0,2020-11-05,599
2215,29,6318,87,Male,147,Bachelor,Luxor,Divorced,4,2022-06-19,601
2216,38,6182,66,Female,166,Bachelor,Cairo,Married,0,2020-05-19,740
2217,29,5772,85,Male,172,High School,Aswan,Divorced,3,2022-08-18,569
2218,34,3105,78,Male,176,Bachelor,Cairo,Married,0,2022-06-24,581
2219,60,9876,78,Male,156,Bachelor,Luxor,Divorced,2,2023-07-17,646
2220,32,4116,51,male,156,PhD,Cairo,Single,1,2021-09-12,715
2221,30,3279,90,Male,164,Bachelor,Cairo,Single,2,2024-06-18,700
2222,27,5574,76,Male,170,High School,Alexandria,Divorced,2,2021-07-16,
2223,43,4077,73,Female,180,Bachelor,Alexandria,Married,2,2023-04-26,614
2224,32,5896,65,Male,177,High School,Cairo,Single,0,2020-04-25,665
2225,27,7375,63,Male,166,Bachelor,Giza,Divorced,1,21/12/2021,580
2226,50,7990,79,Female,173,Master,Giza,Single,1,2022-11-05,758
2227,52,7629,48,fmale,161,High School,Giza,Divorced,3,2020-05-31,668
2228,,5388,86,Male,170,Bachelor,Giza,Divorced,,2021-09-27,751
2229,18,6099,59,Male,169,Bachelor,Luxor,Single,1,2022-08-03,633
2230,47,6815,44,Female,184,high school,Giza,Single,0,2022-07-14,636
2231,26,2484,100,Female,174,Bachelor,Luxor,Divorced,2,2020-03-18,666
2232,44,7141,62,Male,162,Master,Giza,Divorced,1,2020-04-26,642
2233,18,3085,64,Female,162,High School,Cairo,Divorced,0,2022-01-25,640
2234,45,10080,92,Female,166,Bachelor,Giza,Divorced,0,2024-08-30,577
2235,20,5190,100,Male,154,High School,Cairo,Divorced,2,2021-08-10,643
2236,43,5630,52,Female,167,Bachlors,Cairo,Single,2,2020-06-06,568
2237,35,4460,60,Female,168,High School,Alexandria,Married,0,13/08/2023,610
2238,23,4740,61,Female,174,High School,Aswan,Divorced,1,2024-11-04,628
2239,30,10548,89,Female,176,High School,Aswan,Married,2,17/10/2024,603
2240,,7880,99,Female,170,High School,Cairo,Married,2,2020-07-03,
2241,36,2901,58,Female,153,PhD,Aswan,Married,2,2023-06-13,638
2242,42,9008,96,Male,157,Bachelor,Aswan,Divorced,1,2023-05-01,781
2243,58,8386,64,Male,163,Bachelor,Giza,Single,0,2022-11-04,693
2244,18,5437,80,male,176,Master,Aswan,Married,3,2022-02-26,659
2245,54,6613,55,Female,176,High School,Aswan,Divorced,0,2022-08-05,586
2246,36,5970,73,Female,167,Master,Aswan,Single,0,2023-04-03,607
2247,24,9945,73,Male,193,Bachelor,Alexandria,Single,3,2023-02-09,573
2248,19,4407,70,Female,185,Bachelor,Aswan,Married,3,2024-06-09,672
2249,32,6292,80,Male,182,Master,Giza,Married,3,22/02/2024,614
2250,46,5143,59,Female,177,High School,Luxor,Married,1,2020-03-25,673
2251,33,3133,61,Female,174,High School,Alexandria,Single,0,2022-07-10,681
2252,53,10383,81,Female,173,High School,Giza,Single,,2024-07-16,628
2253,18,3636,95,Male,151,Master,Cairo,Single,,2023-03-16,622
2254,34,6440,74,Male,159,High School,Giza,Married,0,27/08/2023,646
2255,19,2518,,Male,167,PhD,Luxor,Married,,2021-01-20,608
2256,39,5201,86,Male,171,High School,Alexandria,Divorced,0,20/10/2021,597
2257,45,6843,87,Male,168,Bachelor,Luxor,Divorced,2,2023-05-24,565
2258,29,4350,60,Female,172,Bachelor,alex,Married,2,2022-09-01,574
2259,18,7173,63,Female,148,Master,Cairo,Single,1,23/10/2022,652
2260,37,5461,64,Female,175,Bachelor,Cairo,Single,1,2020-11-04,670
2261,40,8320,100,Female,170,Bachelor,alex,Married,0,2020-05-06,644
2262,39,8723,82,Male,168,Master,Giza,Divorced,0,2022-07-11,608
2263,49,4826,81,Male,179,PhD,Aswan,Married,1,2020-07-30,693
2264,22,6153,80,Male,159,High School,Cairo,Married,0,2024-07-18,744
2265,43,6366,55,Female,167,Bachelor,Luxor,Single,2,2024-09-10,652
2266,49,7238,100,Male,172,High School,Cairo,Married,0,2021-12-04,636
2267,18,6028,82,Male,161,Bachelor,Alexandria,Married,0,2024-01-02,666
2268,38,6380,85,Female,149,Bachelor,Giza,Single,1,2020-06-21,551
2269,28,5513,48,Female,158,Bachelor,Cairo,Single,0,2022-10-30,685
2270,34,,86,Male,169,Bachelor,Aswan,Single,1,2023-08-16,601
2271,39,8595,69,Male,167,High School,Cairo,Single,1,2020-12-19,708
2272,29,7292,55,Male,169,Bachelor,Aswan,Divorced,0,2020-03-21,580
2273,26,7402,60,Female,163,Bachelor,Giza,Divorced,3,2021-05-22,621
2274,35,7446,56,Female,156,Master,Giza,Married,1,2023-12-20,575
2275,,5692,55,Female,171,Bachelor,Aswan,Single,2,2022-06-15,718
2276,21,6637,,Female,168,High School,Alexandria,Single,3,18/06/2022,565
2277,43,3829,69,Female,176,High School,Giza,Single,3,09/12/2022,634
2278,21,8537,80,fmale,162,Bachelor,Aswan,Divorced,0,2022-12-06,613
2279,42,434,100,Male,149,Bachelor,Giza,Married,0,2023-06-02,637
2280,40,5825,73,Male,143,Bachelor,Cairo,Married,1,21/11/2020,697
2281,18,8281,41,Male,165,High School,Luxor,Married,1,2022-01-15,666
2282,26,3272,71,Female,171,High School,Alexandria,Single,2,2022-02-02,639
2283,49,6799,92,Female,167,PhD,Luxor,Divorced,4,2021-08-02,565
2284,23,4638,73,Male,164,Master,Alexandria,Single,0,2022-03-04,735
2285,29,5262,97,male,154,Bachelor,Cairo,Single,1,2022-04-17,658
2286,40,7891,81,Female,151,Bachelor,Aswan,Divorced,1,2024-05-05,668
2287,44,6396,47,fmale,173,Master,Aswan,Married,3,2021-11-23,589
2288,31,1931,76,Female,167,High School,Aswan,Divorced,0,2023-10-22,709
2289,27,4047,79,Male,NULL,Master,Cairo,Single,1,2023-05-09,585
2290,52,7950,91,Female,154,High School,Luxor,Single,3,2020-04-17,776
2291,55,6897,100,Female,160,Master,Giza,Divorced,5,2024-06-04,676
2292,46,9496,88,Female,170,Bachelor,Aswan,Divorced,1,2023-07-16,715
2293,36,9365,81,Female,172,Bachelor,Giza,Divorced,0,2023-08-18,612
2294,25,5315,85,Male,168,Bachelor,Luxor,Married,2,2021-11-16,642
2295,25,11006,72,Male,183,High School,Giza,Married,0,2020-05-14,575
2296,41,6048,53,Female,164,High School,Giza,Divorced,3,2021-11-06,685
2297,40,4074,75,Female,182,Bachelor,Giza,Divorced,2,2020-07-12,680
2298,51,4732,80,Female,172,Bachelor,Cairo,Single,3,16/02/2023,655
2299,42,1486,56,Female,171,High School,Luxor,Divorced,0,2023-10-21,664
2300,18,9214,94,Female,179,Bachelor,Giza,Married,1,2022-03-02,617
2301,47,9189,90,Female,163,High School,Aswan,Divorced,0,2021-08-04,591
2302,23,3968,54,Female,166,Bachelor,Aswan,Divorced,3,2021-05-31,726
2303,30,5544,95,Female,157,Bachlors,Luxor,Divorced,2,2024-01-22,654
2304,38,6191,70,Male,179,High School,Cairo,Single,0,2024-10-10,640
2305,58,4079,63,Male,173,High School,Giza,Married,0,2023-09-06,663
2306,,2489,91,Female,180,Bachelor,Cairo,Divorced,,2023-05-19,609
2307,42,5579,74,Male,172,Bachelor,Luxor,Single,2,2024-11-23,755
2308,32,5357,100,Male,181,Bachelor,Alexandria,Divorced,0,2020-11-03,711
2309,41,5223,62,Male,162,High School,Aswan,Married,0,2021-11-13,
2310,45,6445,49,Male,179,Bachelor,Giza,Single,2,2020-06-15,666
2311,31,8859,70,Female,166,Bachelor,Giza,Single,0,2023-04-08,595
2312,56,5393,86,Female,170,High School,Luxor,Single,0,2023-09-21,641
2313,37,6340,61,Female,177,Bachelor,Luxor,Married,2,2020-10-16,555
2314,40,7453,55,Female,193,Bachelor,Cairo,Divorced,2,2021-12-17,738
2315,42,7108,78,Male,178,Bachelor,Aswan,Single,0,2021-09-27,703
2316,40,4771,53,Male,179,Bachelor,Cairo,Married,3,2023-09-05,616
2317,45,6192,79,Male,164,High School,Luxor,Single,1,2023-12-01,634
2318,27,7095,69,Male,171,Bachelor,Aswan,Single,3,2023-09-18,650
2319,28,3743,82,Female,169,High School,Luxor,Single,0,13/03/2022,705
2320,21,8527,54,Female,184,High School,Cairo,Married,0,2020-09-21,660
2321,40,8863,94,Female,168,Master,Cairo,Married,0,2023-05-03,616
2322,44,4554,72,Male,183,Bachelor,Cairo,Divorced,2,2023-12-22,658
2323,40,6387,86,Female,156,Bachelor,Alexandria,Single,0,2020-06-22,724
2324,55,7284,89,Female,183,Master,cairo,Divorced,0,2021-09-26,677
2325,34,4908,57,Female,161,Bachelor,Giza,Divorced,0,2023-02-18,664
2326,43,6963,88,Male,178,Bachelor,Cairo,Single,2,2022-02-10,733
2327,21,6326,,Female,161,Bachelor,Luxor,Single,2,2023-08-10,625
2328,30,3064,54,Female,176,Master,Cairo,Divorced,0,2024-06-09,666
2329,43,6918,100,Female,160,High School,Luxor,Single,2,2021-11-03,607
2330,45,3799,91,Female,180,Master,Luxor,Single,0,2024-07-23,612
2331,31,7878,100,Male,178,Bachelor,Aswan,Divorced,0,2020-09-18,
2332,,4657,69,Female,163,Bachelor,Alexandria,Single,2,2023-10-04,579
2333,18,5677,76,male,NULL,Bachelor,Luxor,Single,2,2023-12-10,500
2334,30,8744,82,Female,179,High School,Luxor,Married,2,24/08/2024,713
2335,45,9000000,74,Female,160,Bachelor,Giza,Single,0,2024-02-22,548
2336,41,3841,63,Female,159,Bachelor,Cairo,Married,0,2023-11-04,715
2337,41,3970,61,Female,159,Bachelor,Alexandria,Single,0,2022-12-14,668
2338,35,4801,78,Female,157,Bachelor,Alexandria,Divorced,0,10/07/2020,628
2339,35,6789,58,Male,159,PhD,Aswan,Divorced,1,16/08/2023,657
2340,27,6716,58,Female,179,PhD,Luxor,Married,1,2023-10-05,611
2341,43,4313,80,Female,175,Bachelor,Luxor,Single,0,2022-05-17,595
2342,40,3665,,Female,153,High School,Giza,Married,1,2022-11-07,692
2343,40,6563,89,Male,164,Bachelor,Alexandria,Single,0,2022-01-11,621
2344,,5636,68,Male,158,Master,Cairo,Single,2,2020-02-07,753
2345,18,10314,,Female,178,Bachelor,Aswan,Single,0,2022-01-12,648
2346,48,6073,81,Male,165,Bachelor,Aswan,Married,2,24/09/2021,
2347,,9628,62,Female,154,Bachelor,Aswan,Married,2,2021-01-04,611
2348,24,3659,65,Male,171,Bachelor,Aswan,Married,1,2021-03-14,669
2349,43,2853,65,fmale,176,PhD,Alexandria,Divorced,1,2021-11-30,658
2350,,3759,71,Male,160,Bachelor,Luxor,Married,0,2024-04-18,621
2351,47,8378,100,Male,167,PhD,Alexandria,Single,3,2022-09-22,666
2352,42,9512,54,Male,160,High School,Cairo,Married,3,2021-01-28,
2353,,4435,94,Male,182,Master,Aswan,Divorced,2,2021-04-08,638
2354,18,5078,86,male,165,Bachelor,Alexandria,Divorced,3,2020-10-08,708
2355,49,3662,98,male,162,Master,Cairo,Divorced,3,2020-11-13,586
2356,38,2376,100,Male,169,Master,Giza,Married,1,2020-06-07,699
2357,30,7436,96,Male,167,Bachelor,Aswan,Divorced,0,2021-08-28,585
2358,36,6446,88,Female,176,Bachelor,Luxor,Divorced,0,2024-09-25,643
2359,18,6020,55,Female,182,PhD,Luxor,Divorced,1,2024-06-02,667
2360,39,,,Female,182,Bachelor,Luxor,Divorced,2,2020-07-26,638
2361,,9279,80,Female,166,Bachelor,Cairo,Divorced,1,2022-11-05,689
2362,18,4993,49,Female,173,Master,Alexandria,Married,1,2024-04-27,674
2363,18,7067,,Female,184,Bachelor,Aswan,Divorced,0,2023-01-10,600
2364,48,3090,42,Male,185,Bachlors,Aswan,Married,2,2024-09-06,637
2365,27,5618,92,Male,161,Bachelor,Aswan,Single,0,2024-02-21,660
2366,53,6582,70,Male,175,Bachelor,Aswan,Married,3,2024-12-14,706
2367,28,6654,76,Female,174,High School,Giza,Married,0,14/12/2022,698
2368,18,6309,63,Male,179,Bachelor,Aswan,Divorced,2,2020-03-18,650
2369,21,6989,46,Male,182,Bachelor,Giza,Divorced,2,2023-09-17,732
2370,49,3738,93,Male,159,Bachelor,Alexandria,Divorced,3,20/11/2021,565
2371,33,6394,95,Male,163,Bachelor,Luxor,Married,1,2024-11-29,611
2372,28,6227,69,Female,179,PhD,Giza,Married,1,2024-04-18,642
2373,36,6463,84,Male,171,Bachelor,Luxor,Divorced,0,2023-06-19,666
2374,41,6144,69,Male,147,High School,Luxor,Single,2,2020-09-25,679
2375,48,3453,79,Female,153,Bachlors,Cairo,Single,,2023-05-08,588
2376,52,3364,,Female,176,Bachelor,Giza,Single,5,2022-02-10,643
2377,30,1571,83,Female,178,PhD,Aswan,Single,0,2020-11-11,675
2378,19,7635,95,Male,156,Bachelor,Cairo,Divorced,1,2020-11-28,599
2379,30,7655,82,Male,180,Bachelor,alex,Divorced,1,2021-01-05,644
2380,38,7687,75,Male,168,Bachelor,Luxor,Married,1,2024-08-29,684
2381,,6613,63,Female,159,Master,Cairo,Single,0,2023-11-19,743
2382,23,1733,67,male,164,Bachelor,Aswan,Married,0,2024-04-28,
2383,39,3946,87,Female,157,Bachelor,Aswan,Divorced,,2023-07-03,666
2384,34,6340,52,Female,163,Bachelor,Alexandria,Married,2,2024-07-14,669
2385,35,6271,91,fmale,151,High School,Cairo,Married,2,2020-12-05,600
2386,25,5554,70,Male,169,PhD,alex,Single,0,16/01/2024,694
2387,32,6737,62,Female,175,Bachelor,Luxor,Single,1,2022-06-15,646
2388,23,6023,58,Female,156,Bachelor,Luxor,Single,1,2020-03-30,672
2389,45,6241,85,Male,170,High School,Cairo,Single,1,2022-04-21,635
2390,47,4721,74,Female,161,High School,Alexandria,Married,0,2022-01-16,638
2391,18,7964,98,Female,176,Bachelor,Alexandria,Divorced,2,2023-10-17,
2392,23,5138,56,Male,146,Bachelor,cairo,Single,0,2024-01-13,604
2393,18,3338,66,Male,177,Bachelor,Giza,Divorced,0,2021-05-01,549
2394,27,4458,73,Female,151,Master,Aswan,Married,0,2022-06-28,653
2395,33,5303,,fmale,167,PhD,Luxor,Married,0,2023-06-04,622
2396,18,7988,75,Male,162,Bachelor,Alexandria,Single,3,2021-08-06,607
